date,revenue,active_users,churn_rate,cac,conversion_rate,company
2023-08-07,5454284.73,13303,0.0459,8494.04,0.0327,NovaTech Solutions Pvt. Ltd.
2023-08-14,5465379.77,13004,0.0473,8495.9,0.033,NovaTech Solutions Pvt. Ltd.
2023-08-21,5501191.71,13038,0.0488,8498.77,0.0312,NovaTech Solutions Pvt. Ltd.
2023-08-28,5496657.28,12571,0.0448,8501.71,0.0323,NovaTech Solutions Pvt. Ltd.
2023-09-04,5537407.75,12843,0.0479,8498.68,0.0347,NovaTech Solutions Pvt. Ltd.
2023-09-11,5549385.01,12606,0.0429,8502.41,0.0318,NovaTech Solutions Pvt. Ltd.
2023-09-18,5565710.01,13029,0.0449,8495.77,0.0305,NovaTech Solutions Pvt. Ltd.
2023-09-25,5563302.28,13168,0.0454,8493.77,0.0322,NovaTech Solutions Pvt. Ltd.
2023-10-02,5590779.76,12670,0.0453,8500.29,0.0309,NovaTech Solutions Pvt. Ltd.
2023-10-09,5605366.81,13128,0.0472,8505.27,0.0306,NovaTech Solutions Pvt. Ltd.
2023-10-16,5600932.62,13138,0.046,8502.58,0.0359,NovaTech Solutions Pvt. Ltd.
2023-10-23,5638563.36,13348,0.0469,8503.26,0.0317,NovaTech Solutions Pvt. Ltd.
2023-10-30,5656384.54,12800,0.0445,8497.57,0.0321,NovaTech Solutions Pvt. Ltd.
2023-11-06,5694719.88,12495,0.0464,8491.94,0.0315,NovaTech Solutions Pvt. Ltd.
2023-11-13,3870107.3,11527,0.0428,14868.74,0.0327,NovaTech Solutions Pvt. Ltd.
2023-11-20,5679044.5,13168,0.0451,8496.74,0.0341,NovaTech Solutions Pvt. Ltd.
2023-11-27,5714508.79,12520,0.0454,8496.69,0.0329,NovaTech Solutions Pvt. Ltd.
2023-12-04,5708112.19,13117,0.046,8504.33,0.0308,NovaTech Solutions Pvt. Ltd.
2023-12-11,5729982.48,13033,0.0437,8508.83,0.0324,NovaTech Solutions Pvt. Ltd.
2023-12-18,5731086.74,13475,0.0492,8505.16,0.0305,NovaTech Solutions Pvt. Ltd.
2023-12-25,5757736.49,13604,0.0436,8502.22,0.0328,NovaTech Solutions Pvt. Ltd.
2024-01-01,5766096.04,13230,0.0385,8494.88,0.0317,NovaTech Solutions Pvt. Ltd.
2024-01-08,5776283.25,13761,0.0421,8497.8,0.0321,NovaTech Solutions Pvt. Ltd.
2024-01-15,5831619.1,12865,0.0473,8500.05,0.031,NovaTech Solutions Pvt. Ltd.
2024-01-22,5831931.55,13379,0.0438,8500.35,0.0316,NovaTech Solutions Pvt. Ltd.
2024-01-29,5841702.76,13542,0.0482,8493.81,0.0341,NovaTech Solutions Pvt. Ltd.
2024-02-05,5825718.68,13322,0.0462,8501.4,0.0314,NovaTech Solutions Pvt. Ltd.
2024-02-12,5866878.17,13244,0.0438,8504.25,0.0324,NovaTech Solutions Pvt. Ltd.
2024-02-19,5874606.36,13685,0.0456,8504.06,0.0326,NovaTech Solutions Pvt. Ltd.
2024-02-26,5887565.07,13271,0.0465,8503.05,0.032,NovaTech Solutions Pvt. Ltd.
2024-03-04,5916759.91,13847,0.0438,8502.74,0.0318,NovaTech Solutions Pvt. Ltd.
2024-03-11,5926734.78,13817,0.0467,8504.07,0.0333,NovaTech Solutions Pvt. Ltd.
2024-03-18,5945315.06,13716,0.0444,8501.62,0.0319,NovaTech Solutions Pvt. Ltd.
2024-03-25,5961454.94,13714,0.0434,8510.46,0.031,NovaTech Solutions Pvt. Ltd.
2024-04-01,5956787.17,13907,0.0466,8503.12,0.0326,NovaTech Solutions Pvt. Ltd.
2024-04-08,5989816.3,13314,0.0452,8496.61,0.033,NovaTech Solutions Pvt. Ltd.
2024-04-15,6002794.14,13360,0.0444,8502.06,0.0314,NovaTech Solutions Pvt. Ltd.
2024-04-22,6007666.69,13705,0.0455,8497.47,0.0315,NovaTech Solutions Pvt. Ltd.
2024-04-29,6038480.75,13221,0.0422,8496.41,0.0318,NovaTech Solutions Pvt. Ltd.
2024-05-06,6054663.61,14122,0.0467,8499.2,0.032,NovaTech Solutions Pvt. Ltd.
2024-05-13,6049962.06,13698,0.0444,8501.61,0.0312,NovaTech Solutions Pvt. Ltd.
2024-05-20,4748476.35,11634,0.0448,8502.01,0.0212,NovaTech Solutions Pvt. Ltd.
2024-05-27,6088981.69,13819,0.045,8500.49,0.0312,NovaTech Solutions Pvt. Ltd.
2024-06-03,6110367.65,13925,0.0479,8504.8,0.0342,NovaTech Solutions Pvt. Ltd.
2024-06-10,6113489.79,14061,0.0454,8510.95,0.0312,NovaTech Solutions Pvt. Ltd.
2024-06-17,6127404.17,13644,0.0408,8497.37,0.0312,NovaTech Solutions Pvt. Ltd.
2024-06-24,6157255.91,13950,0.0488,8504.75,0.0314,NovaTech Solutions Pvt. Ltd.
2024-07-01,6156523.78,14019,0.0424,8509.16,0.0332,NovaTech Solutions Pvt. Ltd.
2024-07-08,6177962.37,13382,0.0477,8499.43,0.0332,NovaTech Solutions Pvt. Ltd.
2024-07-15,6176083.59,13740,0.045,8500.23,0.0315,NovaTech Solutions Pvt. Ltd.
2024-07-22,6224342.75,13623,0.0447,8500.6,0.0325,NovaTech Solutions Pvt. Ltd.
2024-07-29,6240674.22,13630,0.0419,8506.39,0.0323,NovaTech Solutions Pvt. Ltd.
2024-08-05,6233772.7,14457,0.0452,8505.9,0.0321,NovaTech Solutions Pvt. Ltd.
2024-08-12,6290911.22,14542,0.0445,8504.86,0.0326,NovaTech Solutions Pvt. Ltd.
2024-08-19,6295529.47,13750,0.0464,8505.29,0.0302,NovaTech Solutions Pvt. Ltd.
2024-08-26,6272251.12,13452,0.0445,8503.59,0.0335,NovaTech Solutions Pvt. Ltd.
2024-09-02,6306111.42,14576,0.0422,8491.48,0.0319,NovaTech Solutions Pvt. Ltd.
2024-09-09,10247732.79,19461,0.0409,8499.55,0.0445,NovaTech Solutions Pvt. Ltd.
2024-09-16,6345045.09,14245,0.0431,8497.43,0.0309,NovaTech Solutions Pvt. Ltd.
2024-09-23,6349059.81,14446,0.043,8502.52,0.0315,NovaTech Solutions Pvt. Ltd.
2024-09-30,6353106.91,14151,0.0429,8497.23,0.0308,NovaTech Solutions Pvt. Ltd.
2024-10-07,6409470.88,14218,0.0436,8501.07,0.0319,NovaTech Solutions Pvt. Ltd.
2024-10-14,6391685.46,14416,0.0465,8497.35,0.0314,NovaTech Solutions Pvt. Ltd.
2024-10-21,6405874.22,13565,0.042,8506.83,0.0336,NovaTech Solutions Pvt. Ltd.
2024-10-28,6421264.46,14452,0.0456,8515.39,0.0331,NovaTech Solutions Pvt. Ltd.
2024-11-04,6438081.24,14017,0.0418,8501.02,0.0312,NovaTech Solutions Pvt. Ltd.
2024-11-11,6433666.19,14134,0.0428,8508.44,0.0329,NovaTech Solutions Pvt. Ltd.
2024-11-18,6469880.41,14795,0.0452,8495.69,0.0335,NovaTech Solutions Pvt. Ltd.
2024-11-25,6493083.65,14064,0.0446,8495.62,0.0306,NovaTech Solutions Pvt. Ltd.
2024-12-02,6513892.66,14972,0.0422,8502.81,0.0313,NovaTech Solutions Pvt. Ltd.
2024-12-09,6507693.12,14246,0.0433,8500.24,0.0312,NovaTech Solutions Pvt. Ltd.
2024-12-16,6534056.85,14432,0.0445,8495.46,0.0314,NovaTech Solutions Pvt. Ltd.
2024-12-23,6556330.87,14622,0.043,8500.5,0.0328,NovaTech Solutions Pvt. Ltd.
